FIPS,County,Latitude,Longitude
15003,Honolulu,+21.461364°,–158.201976°
15005,Kalawao [8],+21.218764°,–156.974010°
15007,Kauaʻi,+22.012038°,–159.705965°
15009,Maui,+20.855931°,–156.601550°
16001,Ada,+43.447861°,–116.244456°
16003,Adams,+44.884583°,–116.431873°
16005,Bannock,+42.692939°,–112.228986°
16007,Bear Lake,+42.285833°,–111.327445°
16009,Benewah,+47.218451°,–116.633541°
16011,Bingham,+43.216357°,–112.399206°
16013,Blaine,+43.394482°,–113.955290°
16015,Boise,+43.987275°,–115.715111°
16017,Bonner,+48.312512°,–116.596940°
16019,Bonneville,+43.395171°,–111.621878°
16021,Boundary,+48.773065°,–116.524619°
16023,Butte,+43.685100°,–113.177627°
16025,Camas,+43.463396°,–114.804427°
16027,Canyon,+43.623051°,–116.708527°
16029,Caribou,+42.786273°,–111.544172°
16031,Cassia,+42.288635°,–113.605498°
16033,Clark,+44.286251°,–112.361120°
16035,Clearwater,+46.672570°,–115.653500°
16037,Custer,+44.273341°,–114.252251°
16039,Elmore,+43.394826°,–115.470751°
16041,Franklin,+42.173589°,–111.822955°
16043,Fremont,+44.218091°,–111.484429°
16045,Gem,+44.061473°,–116.398784°
16047,Gooding,+42.973185°,–114.821420°
16049,Idaho,+45.849237°,–115.467376°
16051,Jefferson,+43.796965°,–112.318588°
16053,Jerome,+42.691172°,–114.263009°
16055,Kootenai,+47.677113°,–116.694918°
16057,Latah,+46.818920°,–116.730974°
16059,Lemhi,+44.928789°,–113.887841°
16061,Lewis,+46.236328°,–116.423760°
16063,Lincoln,+42.986181°,–114.153899°
16065,Madison,+43.789709°,–111.656550°
16067,Minidoka,+42.856937°,–113.640010°
16069,Nez Perce,+46.333766°,–116.760903°
16071,Oneida,+42.183890°,–112.520465°
16073,Owyhee,+42.593063°,–116.142655°
16075,Payette,+44.002740°,–116.748655°
16077,Power,+42.694126°,–112.844407°
16079,Shoshone,+47.347694°,–115.885092°
16081,Teton,+43.760994°,–111.211765°
16083,Twin Falls,+42.352309°,–114.665639°
16085,Valley,+44.771532°,–115.637875°
16087,Washington,+44.448213°,–116.797830°
17001,Adams,+39.986053°,–91.194961°
17003,Alexander,+37.183683°,–89.349506°
17005,Bond,+38.885924°,–89.436592°
17007,Boone,+42.318983°,–88.824295°
17009,Brown,+39.962069°,–90.750310°
17011,Bureau,+41.401304°,–89.528377°
17013,Calhoun,+39.164262°,–90.666295°
17015,Carroll,+42.059084°,–89.926485°
17017,Cass,+39.969202°,–90.245705°
17019,Champaign,+40.139150°,–88.197201°
17021,Christian,+39.545524°,–89.279593°
17023,Clark,+39.332364°,–87.791687°
17025,Clay,+38.747312°,–88.483789°
17027,Clinton,+38.606423°,–89.423136°
17029,Coles,+39.513680°,–88.220782°
17031,Cook,+41.894294°,–87.645455°
17033,Crawford,+39.003730°,–87.757172°
17035,Cumberland,+39.273121°,–88.240619°
17037,DeKalb,+41.894613°,–88.768991°
17039,De Witt,+40.181499°,–88.901853°
17041,Douglas,+39.766078°,–88.222866°
17043,DuPage,+41.852058°,–88.086038°
17045,Edgar,+39.679037°,–87.747110°
17047,Edwards,+38.417095°,–88.047941°
17049,Effingham,+39.047694°,–88.592786°
17051,Fayette,+39.001125°,–89.017923°
17053,Ford,+40.594423°,–88.224746°
17055,Franklin,+37.991848°,–88.926246°
17057,Fulton,+40.465688°,–90.206793°
17059,Gallatin,+37.768677°,–88.227964°
